city,country,apartment_1bed_city_centre,apartment_1bed_outside_centre,apartment_3bed_city_centre,apartment_3bed_outside_centre,apples_1kg,average_salary_net,banana_1kg,beef_round_1kg,bread_500g,cappuccino,cheese_1kg,chicken_breasts_1kg,cigarettes_marlboro,cinema_ticket,coke_pepsi_bottle,domestic_beer_bottle,domestic_beer_draught,eggs_12,fitness_club_monthly,gasoline_1_liter,imported_beer_bottle,internet_unlimited,jeans_levis,lettuce_head,mcmeal_mcdonalds,meal_inexpensive_restaurant,meal_mid_range_restaurant,men_leather_shoes,milk_1_liter,mobile_tariff_minute,monthly_pass_transport,mortgage_interest_rate,nike_shoes,one_way_ticket_transport,onion_1kg,oranges_1kg,potato_1kg,preschool_monthly,primary_school_yearly,rice_1kg,sqm_price_city_centre,sqm_price_outside_centre,summer_dress_chain_store,taxi_1km,taxi_start,taxi_waiting_1hour,tennis_court_hourly,tomato_1kg,toyota_corolla,utilities_basic_apartment,volkswagen_golf,water_033_bottle,water_15_bottle,wine_bottle
Copenhagen,Denmark,1234.4,919.12,2210.96,1655.25,2.44,2803.98,2.25,11.38,2.75,5.21,10.5,8.7,6.02,14.72,3.02,1.61,6.69,3.07,36.85,1.5,2.18,34.45,102.61,1.45,10.04,17.4,80.29,129.68,1.21,0.12,53.53,1.62,101.26,3.21,1.33,2.61,1.63,429.52,7549.8,1.98,6157.07,4258.87,38.2,2.01,6.69,53.55,30.51,3.0,32048.06,196.67,33453.16,,1.07,8.03
Ljubljana,Slovenia,579.89,448.26,1063.75,783.33,1.36,1155.72,1.21,9.42,1.08,1.48,10.36,7.69,4.1,6.78,2.15,1.05,2.6,2.29,40.61,1.3,1.73,33.0,62.23,1.18,5.0,8.0,35.0,90.59,0.91,0.07,37.0,3.19,76.41,1.3,0.94,1.36,0.85,368.78,10118.75,1.46,3541.67,2605.88,29.24,0.9,1.0,13.9,13.78,1.95,19070.45,199.61,19000.0,,0.59,6.0
Chandigarh,India,149.06,88.87,360.85,219.96,1.8,380.27,0.76,5.95,0.44,1.39,4.87,3.58,3.81,3.17,0.35,1.71,1.9,0.78,18.59,0.91,2.76,10.73,32.44,0.54,3.3,2.54,10.16,36.31,0.7,0.01,6.35,9.35,50.11,0.25,0.39,0.99,0.29,48.37,1743.81,0.9,1416.37,694.3,41.29,0.15,0.63,1.02,6.47,0.43,21138.58,60.44,10791.47,,0.42,12.7
Colombo,Sri Lanka,325.83,116.89,768.96,272.27,2.4,244.23,0.83,5.25,0.42,2.21,10.49,3.56,5.96,3.48,0.56,1.05,1.49,1.08,15.47,0.71,1.66,13.95,25.09,0.76,4.22,1.49,14.9,28.05,1.09,0.01,4.97,14.45,50.58,0.12,0.74,2.17,0.84,45.28,788.02,0.52,1935.85,933.95,18.11,0.25,0.3,0.6,5.12,0.76,32151.75,37.91,24834.98,,0.49,12.42
Noida,India,153.28,94.92,344.64,208.55,1.81,536.67,0.7,4.51,0.4,1.45,2.96,3.0,3.16,3.8,0.39,1.34,1.39,0.84,22.23,0.94,2.17,11.58,29.16,0.59,3.16,3.8,12.66,33.12,0.61,0.01,12.66,9.21,52.08,0.51,0.35,0.86,0.26,87.89,2190.01,1.02,874.62,585.38,33.33,0.15,0.63,0.76,10.76,0.45,20946.7,61.65,10124.87,,0.37,9.65
Kaunas,Lithuania,359.31,246.21,616.67,396.0,0.88,771.0,1.03,7.12,1.13,2.12,7.12,5.07,3.75,7.0,1.31,1.22,2.7,1.53,27.64,1.18,1.71,10.14,69.4,1.17,5.0,6.0,30.0,96.0,0.85,0.06,28.0,2.48,71.96,1.0,0.48,1.32,0.46,308.57,6000.0,1.12,1983.0,1235.42,30.12,0.55,0.8,8.5,18.07,1.61,18406.01,122.48,18000.0,,0.76,7.5
Athens,Greece,377.05,338.69,677.0,612.7,1.34,787.01,1.44,9.27,0.79,3.15,8.38,7.06,4.5,8.0,1.54,1.4,4.0,2.92,28.6,1.59,2.0,31.08,71.23,0.62,6.0,10.0,40.0,92.58,1.23,0.34,30.0,4.73,78.22,1.4,0.86,1.0,0.94,366.83,7385.58,1.7,1886.28,1748.42,28.6,0.74,3.5,11.81,17.98,1.58,18860.32,138.77,18000.0,,0.83,7.5
"Phoenix, AZ",United States,1092.25,824.8,1657.74,1317.96,2.93,3113.47,1.38,9.6,2.18,3.6,9.65,7.9,6.73,9.88,1.53,1.41,3.59,1.85,27.66,0.7,1.75,67.23,35.14,1.06,6.73,10.77,53.87,82.84,0.51,0.1,57.47,4.2,66.48,1.8,1.91,3.03,1.99,678.35,13498.49,4.53,2150.04,1403.23,30.88,1.24,2.92,32.32,7.38,3.19,18257.94,161.5,19156.78,,1.62,9.88
Hong Kong,Hong Kong,2041.88,1405.71,4516.75,2823.07,3.07,2387.66,2.06,14.93,1.84,4.15,19.15,9.24,6.82,11.57,1.01,1.54,5.78,2.75,68.37,1.96,2.18,21.61,70.72,1.36,4.05,5.78,46.26,115.84,2.54,0.08,56.96,2.56,79.41,1.16,2.13,2.73,2.09,640.36,16701.41,1.82,27720.21,17532.98,30.29,0.98,2.78,11.8,7.45,2.82,25340.81,176.27,28915.3,,1.57,13.88
"Portland, OR",United States,1399.8,1045.69,2472.7,1769.49,4.7,3403.15,1.3,14.63,2.83,3.85,12.78,9.98,6.29,10.78,1.78,1.83,4.49,2.62,39.9,0.77,3.14,60.86,45.22,1.47,6.74,12.58,44.92,86.29,0.78,0.12,89.85,4.18,72.05,2.25,1.9,3.22,1.78,1076.09,16387.06,3.91,3522.58,2371.28,34.47,1.45,2.7,29.2,18.12,3.67,20494.34,150.98,21563.64,,1.75,12.58
